1355	   2.3	     6.9     	6.7     	2.2     	R
1480	   3.3	     9.6     	9.5     	3.9     	A
1469	   3.5	     4.2     	7.2     	6.4     	A
1325	   2.7	     7.7     	9.8     	8.3     	R
1381	   2.9	     3.6     	8.2     	6.8     	R
1457	   2.3	     7.3     	6.9     	3.5     	R
1342	   3.2	     5.5     	9.6     	8.3     	R
1351	   3.2	     6.0     	7.3     	6.0     	R
1467	   4.0	     4.7     	9.4     	4.3     	A
1518	   2.3	     7.5     	7.9     	2.8     	R
1372	   3.8	     6.7     	8.1     	5.8     	A
1253	   2.3	     7.3     	9.0     	5.1     	R
1517	   2.2	     10.0     	6.6     	2.1     	R
1512	   3.0	     7.4     	6.8     	8.8     	A
1250	   3.8	     8.9     	7.5     	7.8     	A
1250	   2.3	     9.2     	9.1     	7.1     	R
1591	   2.4	     6.9     	8.0     	7.8     	R
1210	   3.3	     9.2     	8.6     	5.2     	R
1311	   2.9	     6.5     	7.1     	6.6     	R
1408	   2.1	     3.7     	6.6     	4.1     	R
1579	   2.6	     4.0     	9.2     	7.2     	R
1546	   3.8	     8.7     	9.0     	7.5     	A
1376	   3.5	     9.2     	10.0     	3.9     	R
1446	   2.0	     9.2     	8.0     	7.3     	R
1310	   3.6	     3.6     	9.1     	2.5     	R
1467	   2.6	     3.8     	9.1     	5.6     	R
1350	   3.4	     8.1     	8.1     	6.1     	R
1349	   2.8	     6.0     	6.7     	3.1     	R
1248	   3.3	     9.0     	6.1     	6.9     	R
1239	   3.3	     7.5     	9.9     	3.1     	R
1317	   2.5	     9.5     	7.5     	2.3     	R
1594	   2.1	     5.4     	6.4     	8.6     	R
1517	   3.0	     6.8     	8.1     	10.0     	A
1222	   3.8	     5.7     	8.0     	2.6     	R
1406	   3.2	     7.9     	7.5     	7.0     	R
1329	   3.0	     4.8     	9.8     	5.7     	R
1356	   2.5	     8.0     	7.3     	7.1     	R
1499	   2.6	     7.8     	6.3     	5.2     	R
1404	   3.8	     9.1     	6.2     	5.2     	A
1549	   2.2	     5.1     	7.0     	6.8     	R
1350	   3.5	     4.5     	6.3     	3.2     	R
1534	   2.8	     7.4     	6.4     	4.9     	R
1233	   3.0	     7.3     	9.2     	8.4     	R
1300	   3.1	     3.7     	9.8     	7.1     	R
1400	   2.9	     6.6     	7.5     	6.1     	R
1565	   2.5	     7.4     	6.8     	6.1     	R
1290	   3.2	     5.0     	7.8     	7.3     	R
1372	   2.5	     3.5     	6.2     	4.9     	R
1372	   2.3	     8.9     	6.2     	9.5     	R
1455	   2.6	     6.4     	9.0     	3.9     	R
1246	   2.5	     7.8     	8.5     	7.0     	R
1280	   3.1	     9.1     	9.3     	8.0     	R
1353	   2.1	     5.4     	8.7     	5.9     	R
1201	   2.2	     8.3     	6.3     	3.3     	R
1249	   3.0	     5.1     	9.9     	6.4     	R
1297	   3.2	     9.0     	8.9     	4.8     	R
1236	   3.7	     7.1     	9.1     	5.8     	R
1282	   4.0	     3.1     	6.3     	8.5     	A
1506	   2.9	     9.0     	6.4     	3.1     	R
1338	   2.2	     4.6     	6.4     	3.5     	R
1355	   2.5	     7.8     	8.8     	3.6     	R
1297	   3.9	     8.6     	6.4     	7.3     	A
1259	   2.4	     6.6     	8.9     	9.8     	R
1594	   3.9	     9.7     	6.0     	2.2     	A
1506	   3.5	     6.4     	8.5     	9.0     	A
1449	   3.9	     9.9     	9.4     	2.6     	A
1265	   2.5	     5.2     	9.4     	9.5     	R
1405	   2.2	     9.1     	7.3     	3.5     	R
1415	   2.9	     5.7     	6.2     	3.6     	R
1341	   2.1	     4.0     	7.2     	2.3     	R
1267	   2.2	     8.7     	8.6     	7.6     	R
1472	   2.6	     7.7     	8.7     	3.1     	R
1502	   3.7	     5.7     	6.3     	7.4     	A
1327	   3.2	     8.4     	6.8     	9.2     	R
1587	   3.5	     5.6     	7.4     	8.3     	A
1426	   3.4	     8.7     	8.8     	2.1     	R
1543	   3.8	     3.6     	8.7     	6.3     	A
1518	   2.7	     8.8     	7.9     	2.1     	R
1584	   2.5	     8.9     	7.4     	4.4     	R
1406	   3.3	     9.2     	7.2     	8.8     	A
1512	   2.5	     7.1     	6.6     	6.9     	R
1346	   3.4	     5.2     	6.7     	5.4     	R
1331	   2.1	     5.1     	7.7     	7.7     	R
1535	   2.4	     3.4     	8.6     	7.5     	R
1226	   3.2	     9.4     	9.6     	9.7     	R
1285	   2.8	     7.4     	6.4     	7.7     	R
1392	   3.8	     9.8     	6.3     	2.2     	R
1434	   2.9	     8.1     	9.6     	6.9     	R
1263	   2.5	     7.6     	7.8     	7.2     	R
1347	   2.6	     9.1     	7.7     	9.7     	R
1422	   3.0	     7.1     	7.9     	5.1     	R
1417	   3.4	     8.7     	6.7     	8.3     	A
1408	   3.3	     7.6     	8.0     	7.7     	A
1472	   2.2	     4.0     	7.7     	9.9     	R
1505	   3.1	     4.5     	7.7     	2.3     	R
1545	   3.6	     5.3     	8.9     	3.8     	A
1314	   2.6	     8.0     	9.5     	8.1     	R
1240	   2.8	     6.1     	9.6     	6.6     	R
