1239	   3.9	     9.1     	9.0     	4.3
1330	   3.7	     7.8     	7.8     	5.4
1552	   3.7	     4.6     	7.3     	2.9
1306	   2.8	     6.2     	6.8     	8.6
1330	   2.6	     4.0     	8.7     	6.3
1439	   4.0	     7.7     	8.9     	3.0
1243	   3.6	     3.4     	9.9     	6.5
1338	   2.6	     6.0     	6.1     	8.0
1543	   3.8	     7.3     	6.3     	3.8
1489	   2.7	     7.2     	6.7     	6.4
1371	   3.0	     9.0     	8.3     	3.5
1355	   2.3	     4.2     	6.2     	9.1
1318	   2.3	     8.0     	7.4     	3.2
1309	   3.4	     6.2     	8.8     	7.8
1282	   3.1	     7.5     	9.3     	7.2
1546	   3.1	     3.0     	7.9     	7.8
1419	   3.8	     4.7     	7.6     	5.7
1370	   3.6	     7.4     	8.4     	8.8
1408	   3.8	     3.1     	6.9     	4.0
1265	   3.0	     9.6     	8.5     	3.7
1469	   3.7	     8.4     	7.2     	7.2
1369	   2.4	     4.4     	7.7     	7.2
1568	   3.9	     6.8     	6.6     	5.0
1207	   3.2	     4.2     	8.6     	3.5
1211	   2.3	     3.6     	6.2     	5.2
1334	   2.4	     9.3     	7.1     	8.6
1244	   3.9	     7.6     	9.5     	4.2
1320	   2.6	     6.1     	8.0     	7.9
1238	   2.8	     7.9     	8.6     	6.6
1233	   3.3	     4.1     	7.0     	4.5
1339	   2.6	     6.4     	7.7     	4.7
1555	   3.5	     6.8     	9.2     	2.4
1348	   3.8	     3.1     	6.1     	8.3
1312	   2.7	     3.7     	8.9     	8.6
1531	   3.6	     4.7     	8.1     	5.8
1525	   3.2	     3.9     	9.9     	9.0
1379	   2.6	     4.1     	9.7     	8.1
1397	   3.6	     6.7     	6.1     	6.9
1433	   2.8	     6.6     	8.4     	5.5
1321	   3.8	     8.3     	7.6     	6.9
1433	   2.5	     6.0     	9.3     	8.1
1561	   3.3	     5.6     	6.2     	6.9
1300	   3.0	     9.5     	7.6     	5.4
1477	   3.8	     4.7     	6.9     	9.5
1545	   3.6	     5.5     	7.5     	5.2
1514	   3.4	     5.0     	8.2     	2.7
1557	   2.3	     5.2     	7.3     	9.7
1229	   2.5	     7.2     	7.8     	4.1
1282	   3.4	     8.3     	6.6     	2.9
1271	   3.7	     3.1     	7.7     	2.5
1583	   2.6	     9.1     	7.2     	7.4
1308	   2.2	     5.5     	8.2     	7.2
1375	   2.9	     8.5     	9.0     	8.2
1496	   3.6	     3.0     	7.3     	4.2
1309	   3.1	     9.8     	6.1     	7.5
1233	   2.4	     6.6     	6.4     	7.1
1430	   2.1	     9.5     	7.8     	5.0
1440	   3.4	     6.3     	9.8     	4.2
1245	   2.8	     8.0     	9.6     	3.1
1398	   3.3	     9.8     	8.0     	9.8
1294	   3.6	     6.6     	6.8     	8.4
1281	   2.6	     3.1     	8.9     	5.1
1461	   2.6	     6.2     	8.3     	7.9
1528	   2.4	     6.2     	7.2     	3.1
1491	   2.8	     6.7     	7.8     	4.4
1469	   3.9	     9.6     	8.6     	5.6
1566	   3.7	     4.5     	7.7     	2.7
1210	   3.3	     5.6     	6.2     	4.9
1506	   3.4	     7.6     	6.9     	4.2
1360	   2.1	     6.2     	9.4     	4.6
1439	   3.2	     8.1     	6.5     	2.3
1212	   3.6	     9.8     	9.9     	5.5
1368	   3.8	     5.2     	8.6     	4.6
1359	   3.3	     9.7     	9.1     	7.7
1327	   3.1	     5.8     	9.9     	8.0
1473	   2.8	     8.6     	6.6     	3.9
1248	   3.5	     8.7     	9.4     	9.0
1540	   3.8	     7.7     	9.3     	8.8
1246	   2.5	     8.2     	7.7     	9.1
1224	   3.7	     6.9     	6.1     	6.8
1306	   2.7	     4.0     	8.7     	4.5
1557	   2.7	     7.8     	8.8     	6.0
1568	   3.6	     4.7     	9.0     	7.3
1244	   3.2	     6.8     	9.2     	5.4
1358	   3.8	     7.7     	6.5     	4.7
1423	   2.4	     4.1     	6.5     	3.7
1505	   2.8	     6.9     	9.6     	2.4
1546	   3.6	     5.8     	8.2     	5.9
1560	   3.0	     5.1     	6.6     	3.7
1584	   2.5	     8.7     	8.0     	2.3
1292	   3.8	     9.6     	9.6     	2.3
1311	   2.9	     4.6     	7.8     	6.6
1378	   2.4	     9.7     	10.0     	2.9
1203	   3.7	     9.4     	7.7     	5.4
1357	   2.6	     9.3     	8.8     	5.6
1245	   3.3	     7.9     	9.7     	3.3
1498	   2.3	     3.4     	8.8     	2.4
1239	   3.9	     6.6     	7.3     	5.3
1236	   3.6	     7.3     	6.2     	8.2
1492	   2.1	     7.5     	8.6     	5.7
